ConcatUF+Mun,IBGE,IBGE7,UF,Município,Região
ROAlta Floresta D'oeste,110001,1100015,RO,Alta Floresta D´oeste,Região Norte
ROAriquemes,110002,1100023,RO,Ariquemes,Região Norte
ROCabixi,110003,1100031,RO,Cabixi,Região Norte
ROCacoal,110004,1100049,RO,Cacoal,Região Norte
ROCerejeiras,110005,1100056,RO,Cerejeiras,Região Norte
ROColorado do Oeste,110006,1100064,RO,Colorado do Oeste,Região Norte
ROCorumbiara,110007,1100072,RO,Corumbiara,Região Norte
ROCosta Marques,110008,1100080,RO,Costa Marques,Região Norte
ROEspigão D'oeste,110009,1100098,RO,Espigão D´oeste,Região Norte
ROGuajará-mirim,110010,1100106,RO,Guajará-mirim,Região Norte
ROJaru,110011,1100114,RO,Jaru,Região Norte
ROJi-paraná,110012,1100122,RO,Ji-paraná,Região Norte
ROMachadinho D'oeste,110013,1100130,RO,Machadinho D´oeste,Região Norte
RONova Brasilândia D'oeste,110014,1100148,RO,Nova Brasilândia D´oeste,Região Norte
ROOuro Preto do Oeste,110015,1100155,RO,Ouro Preto do Oeste,Região Norte
ROPimenta Bueno,110018,1100189,RO,Pimenta Bueno,Região Norte
ROPorto Velho,110020,1100205,RO,Porto Velho,Região Norte
ROPresidente Médici,110025,1100254,RO,Presidente Médici,Região Norte
RORio Crespo,110026,1100262,RO,Rio Crespo,Região Norte
RORolim de Moura,110028,1100288,RO,Rolim de Moura,Região Norte
ROSanta Luzia D'oeste,110029,1100296,RO,Santa Luzia D´oeste,Região Norte
ROVilhena,110030,1100304,RO,Vilhena,Região Norte
ROSão Miguel do Guaporé,110032,1100320,RO,São Miguel do Guaporé,Região Norte
RONova Mamoré,110033,1100338,RO,Nova Mamoré,Região Norte
ROAlvorada D'oeste,110034,1100346,RO,Alvorada D´oeste,Região Norte
ROAlto Alegre Dos Parecis,110037,1100379,RO,Alto Alegre Dos Parecis,Região Norte
ROAlto Paraíso,110040,1100403,RO,Alto Paraíso,Região Norte
ROBuritis,110045,1100452,RO,Buritis,Região Norte
RONovo Horizonte do Oeste,110050,1100502,RO,Novo Horizonte do Oeste,Região Norte
ROCacaulândia,110060,1100601,RO,Cacaulândia,Região Norte
ROCampo Novo de Rondônia,110070,1100700,RO,Campo Novo de Rondônia,Região Norte
ROCandeias do Jamari,110080,1100809,RO,Candeias do Jamari,Região Norte
ROCastanheiras,110090,1100908,RO,Castanheiras,Região Norte
ROChupinguaia,110092,1100924,RO,Chupinguaia,Região Norte
ROCujubim,110094,1100940,RO,Cujubim,Região Norte
ROGovernador Jorge Teixeira,110100,1101005,RO,Governador Jorge Teixeira,Região Norte
ROItapuã do Oeste,110110,1101104,RO,Itapuã do Oeste,Região Norte
ROMinistro Andreazza,110120,1101203,RO,Ministro Andreazza,Região Norte
ROMirante da Serra,110130,1101302,RO,Mirante da Serra,Região Norte
ROMonte Negro,110140,1101401,RO,Monte Negro,Região Norte
RONova União,110143,1101435,RO,Nova União,Região Norte
ROParecis,110145,1101450,RO,Parecis,Região Norte
ROPimenteiras do Oeste,110146,1101468,RO,Pimenteiras do Oeste,Região Norte
ROPrimavera de Rondônia,110147,1101476,RO,Primavera de Rondônia,Região Norte
ROSão Felipe D'oeste,110148,1101484,RO,São Felipe D´oeste,Região Norte
ROSão Francisco do Guaporé,110149,1101492,RO,São Francisco do Guaporé,Região Norte
ROSeringueiras,110150,1101500,RO,Seringueiras,Região Norte
ROTeixeirópolis,110155,1101559,RO,Teixeirópolis,Região Norte
ROTheobroma,110160,1101609,RO,Theobroma,Região Norte
ROUrupá,110170,1101708,RO,Urupá,Região Norte
ROVale do Anari,110175,1101757,RO,Vale do Anari,Região Norte
ROVale do Paraíso,110180,1101807,RO,Vale do Paraíso,Região Norte
ACAcrelândia,120001,1200013,AC,Acrelândia,Região Norte
ACAssis Brasil,120005,1200054,AC,Assis Brasil,Região Norte
ACBrasiléia,120010,1200104,AC,Brasiléia,Região Norte
ACBujari,120013,1200138,AC,Bujari,Região Norte
ACCapixaba,120017,1200179,AC,Capixaba,Região Norte
ACCruzeiro do Sul,120020,1200203,AC,Cruzeiro do Sul,Região Norte
ACEpitaciolândia,120025,1200252,AC,Epitaciolândia,Região Norte
ACFeijó,120030,1200302,AC,Feijó,Região Norte
ACJordão,120032,1200328,AC,Jordão,Região Norte
ACMâncio Lima,120033,1200336,AC,Mâncio Lima,Região Norte
ACManoel Urbano,120034,1200344,AC,Manoel Urbano,Região Norte
ACMarechal Thaumaturgo,120035,1200351,AC,Marechal Thaumaturgo,Região Norte
ACPlácido de Castro,120038,1200385,AC,Plácido de Castro,Região Norte
ACPorto Walter,120039,1200393,AC,Porto Walter,Região Norte
ACRio Branco,120040,1200401,AC,Rio Branco,Região Norte
ACRodrigues Alves,120042,1200427,AC,Rodrigues Alves,Região Norte
ACSanta Rosa do Purus,120043,1200435,AC,Santa Rosa do Purus,Região Norte
ACSenador Guiomard,120045,1200450,AC,Senador Guiomard,Região Norte
ACSena Madureira,120050,1200500,AC,Sena Madureira,Região Norte
ACTarauacá,120060,1200609,AC,Tarauacá,Região Norte
ACXapuri,120070,1200708,AC,Xapuri,Região Norte
ACPorto Acre,120080,1200807,AC,Porto Acre,Região Norte
AMAlvarães,130002,1300029,AM,Alvarães,Região Norte
AMAmaturá,130006,1300060,AM,Amaturá,Região Norte
AMAnamã,130008,1300086,AM,Anamã,Região Norte
AMAnori,130010,1300102,AM,Anori,Região Norte
AMApuí,130014,1300144,AM,Apuí,Região Norte
AMAtalaia do Norte,130020,1300201,AM,Atalaia do Norte,Região Norte
AMAutazes,130030,1300300,AM,Autazes,Região Norte
AMBarcelos,130040,1300409,AM,Barcelos,Região Norte
AMBarreirinha,130050,1300508,AM,Barreirinha,Região Norte
AMBenjamin Constant,130060,1300607,AM,Benjamin Constant,Região Norte
AMBeruri,130063,1300631,AM,Beruri,Região Norte
AMBoa Vista do Ramos,130068,1300680,AM,Boa Vista do Ramos,Região Norte
AMBoca do Acre,130070,1300706,AM,Boca do Acre,Região Norte
AMBorba,130080,1300805,AM,Borba,Região Norte
AMCaapiranga,130083,1300839,AM,Caapiranga,Região Norte
AMCanutama,130090,1300904,AM,Canutama,Região Norte
AMCarauari,130100,1301001,AM,Carauari,Região Norte
AMCareiro,130110,1301100,AM,Careiro,Região Norte
AMCareiro da Várzea,130115,1301159,AM,Careiro da Várzea,Região Norte
AMCoari,130120,1301209,AM,Coari,Região Norte
AMCodajás,130130,1301308,AM,Codajás,Região Norte
AMEirunepé,130140,1301407,AM,Eirunepé,Região Norte
AMEnvira,130150,1301506,AM,Envira,Região Norte
AMFonte Boa,130160,1301605,AM,Fonte Boa,Região Norte
AMGuajará,130165,1301654,AM,Guajará,Região Norte
AMHumaitá,130170,1301704,AM,Humaitá,Região Norte
AMIpixuna,130180,1301803,AM,Ipixuna,Região Norte
AMIranduba,130185,1301852,AM,Iranduba,Região Norte
AMItacoatiara,130190,1301902,AM,Itacoatiara,Região Norte
AMItamarati,130195,1301951,AM,Itamarati,Região Norte
AMItapiranga,130200,1302009,AM,Itapiranga,Região Norte
AMJapurá,130210,1302108,AM,Japurá,Região Norte
AMJuruá,130220,1302207,AM,Juruá,Região Norte
AMJutaí,130230,1302306,AM,Jutaí,Região Norte
AMLábrea,130240,1302405,AM,Lábrea,Região Norte
AMManacapuru,130250,1302504,AM,Manacapuru,Região Norte
AMManaquiri,130255,1302553,AM,Manaquiri,Região Norte
AMManaus,130260,1302603,AM,Manaus,Região Norte
AMManicoré,130270,1302702,AM,Manicoré,Região Norte
AMMaraã,130280,1302801,AM,Maraã,Região Norte
AMMaués,130290,1302900,AM,Maués,Região Norte
AMNhamundá,130300,1303007,AM,Nhamundá,Região Norte
AMNova Olinda do Norte,130310,1303106,AM,Nova Olinda do Norte,Região Norte
AMNovo Airão,130320,1303205,AM,Novo Airão,Região Norte
AMNovo Aripuanã,130330,1303304,AM,Novo Aripuanã,Região Norte
AMParintins,130340,1303403,AM,Parintins,Região Norte
AMPauini,130350,1303502,AM,Pauini,Região Norte
AMPresidente Figueiredo,130353,1303536,AM,Presidente Figueiredo,Região Norte
AMRio Preto da Eva,130356,1303569,AM,Rio Preto da Eva,Região Norte
AMSanta Isabel do Rio Negro,130360,1303601,AM,Santa Isabel do Rio Negro,Região Norte
AMSanto Antônio do Içá,130370,1303700,AM,Santo Antônio do Içá,Região Norte
AMSão Gabriel da Cachoeira,130380,1303809,AM,São Gabriel da Cachoeira,Região Norte
AMSão Paulo de Olivença,130390,1303908,AM,São Paulo de Olivença,Região Norte
AMSão Sebastião do Uatumã,130395,1303957,AM,São Sebastião do Uatumã,Região Norte
AMSilves,130400,1304005,AM,Silves,Região Norte
AMTabatinga,130406,1304062,AM,Tabatinga,Região Norte
AMTapauá,130410,1304104,AM,Tapauá,Região Norte
AMTefé,130420,1304203,AM,Tefé,Região Norte
AMTonantins,130423,1304237,AM,Tonantins,Região Norte
AMUarini,130426,1304260,AM,Uarini,Região Norte
AMUrucará,130430,1304302,AM,Urucará,Região Norte
AMUrucurituba,130440,1304401,AM,Urucurituba,Região Norte
RRAmajari,140002,1400027,RR,Amajari,Região Norte
RRAlto Alegre,140005,1400050,RR,Alto Alegre,Região Norte
RRBoa Vista,140010,1400100,RR,Boa Vista,Região Norte
RRBonfim,140015,1400159,RR,Bonfim,Região Norte
RRCantá,140017,1400175,RR,Cantá,Região Norte
RRCaracaraí,140020,1400209,RR,Caracaraí,Região Norte
RRCaroebe,140023,1400233,RR,Caroebe,Região Norte
RRIracema,140028,1400282,RR,Iracema,Região Norte
RRMucajaí,140030,1400308,RR,Mucajaí,Região Norte
RRNormandia,140040,1400407,RR,Normandia,Região Norte
RRPacaraima,140045,1400456,RR,Pacaraima,Região Norte
RRRorainópolis,140047,1400472,RR,Rorainópolis,Região Norte
RRSão João da Baliza,140050,1400506,RR,São João da Baliza,Região Norte
RRSão Luiz,140060,1400605,RR,São Luiz,Região Norte
RRUiramutã,140070,1400704,RR,Uiramutã,Região Norte
PAAbaetetuba,150010,1500107,PA,Abaetetuba,Região Norte
PAAbel Figueiredo,150013,1500131,PA,Abel Figueiredo,Região Norte
PAAcará,150020,1500206,PA,Acará,Região Norte
PAAfuá,150030,1500305,PA,Afuá,Região Norte
PAÁgua Azul do Norte,150034,1500347,PA,Água Azul do Norte,Região Norte
PAAlenquer,150040,1500404,PA,Alenquer,Região Norte
PAAlmeirim,150050,1500503,PA,Almeirim,Região Norte
PAAltamira,150060,1500602,PA,Altamira,Região Norte
PAAnajás,150070,1500701,PA,Anajás,Região Norte
PAAnanindeua,150080,1500800,PA,Ananindeua,Região Norte
PAAnapu,150085,1500859,PA,Anapu,Região Norte
PAAugusto Corrêa,150090,1500909,PA,Augusto Corrêa,Região Norte
PAAurora do Pará,150095,1500958,PA,Aurora do Pará,Região Norte
PAAveiro,150100,1501006,PA,Aveiro,Região Norte
PABagre,150110,1501105,PA,Bagre,Região Norte
PABaião,150120,1501204,PA,Baião,Região Norte
PABannach,150125,1501253,PA,Bannach,Região Norte
PABarcarena,150130,1501303,PA,Barcarena,Região Norte
PABelém,150140,1501402,PA,Belém,Região Norte
PABelterra,150145,1501451,PA,Belterra,Região Norte
PABenevides,150150,1501501,PA,Benevides,Região Norte
PABom Jesus do Tocantins,150157,1501576,PA,Bom Jesus do Tocantins,Região Norte
PABonito,150160,1501600,PA,Bonito,Região Norte
PABragança,150170,1501709,PA,Bragança,Região Norte
PABrasil Novo,150172,1501725,PA,Brasil Novo,Região Norte
PABrejo Grande do Araguaia,150175,1501758,PA,Brejo Grande do Araguaia,Região Norte
PABreu Branco,150178,1501782,PA,Breu Branco,Região Norte
PABreves,150180,1501808,PA,Breves,Região Norte
PABujaru,150190,1501907,PA,Bujaru,Região Norte
PACachoeira do Piriá,150195,1501956,PA,Cachoeira do Piriá,Região Norte
PACachoeira do Arari,150200,1502004,PA,Cachoeira do Arari,Região Norte
PACametá,150210,1502103,PA,Cametá,Região Norte
PACanaã Dos Carajás,150215,1502152,PA,Canaã Dos Carajás,Região Norte
PACapanema,150220,1502202,PA,Capanema,Região Norte
PACapitão Poço,150230,1502301,PA,Capitão Poço,Região Norte
PACastanhal,150240,1502400,PA,Castanhal,Região Norte
PAChaves,150250,1502509,PA,Chaves,Região Norte
PAColares,150260,1502608,PA,Colares,Região Norte
PAConceição do Araguaia,150270,1502707,PA,Conceição do Araguaia,Região Norte
PAConcórdia do Pará,150275,1502756,PA,Concórdia do Pará,Região Norte
PACumaru do Norte,150276,1502764,PA,Cumaru do Norte,Região Norte
PACurionópolis,150277,1502772,PA,Curionópolis,Região Norte
PACurralinho,150280,1502806,PA,Curralinho,Região Norte
PACuruá,150285,1502855,PA,Curuá,Região Norte
PACuruçá,150290,1502905,PA,Curuçá,Região Norte
PADom Eliseu,150293,1502939,PA,Dom Eliseu,Região Norte
PAEldorado Dos Carajás,150295,1502954,PA,Eldorado Dos Carajás,Região Norte
PAFaro,150300,1503002,PA,Faro,Região Norte
PAFloresta do Araguaia,150304,1503044,PA,Floresta do Araguaia,Região Norte
PAGarrafão do Norte,150307,1503077,PA,Garrafão do Norte,Região Norte
PAGoianésia do Pará,150309,1503093,PA,Goianésia do Pará,Região Norte
PAGurupá,150310,1503101,PA,Gurupá,Região Norte
PAIgarapé-açu,150320,1503200,PA,Igarapé-açu,Região Norte
PAIgarapé-miri,150330,1503309,PA,Igarapé-miri,Região Norte
PAInhangapi,150340,1503408,PA,Inhangapi,Região Norte
PAIpixuna do Pará,150345,1503457,PA,Ipixuna do Pará,Região Norte
PAIrituia,150350,1503507,PA,Irituia,Região Norte
PAItaituba,150360,1503606,PA,Itaituba,Região Norte
PAItupiranga,150370,1503705,PA,Itupiranga,Região Norte
PAJacareacanga,150375,1503754,PA,Jacareacanga,Região Norte
PAJacundá,150380,1503804,PA,Jacundá,Região Norte
PAJuruti,150390,1503903,PA,Juruti,Região Norte
PALimoeiro do Ajuru,150400,1504000,PA,Limoeiro do Ajuru,Região Norte
PAMãe do Rio,150405,1504059,PA,Mãe do Rio,Região Norte
PAMagalhães Barata,150410,1504109,PA,Magalhães Barata,Região Norte
PAMarabá,150420,1504208,PA,Marabá,Região Norte
PAMaracanã,150430,1504307,PA,Maracanã,Região Norte
PAMarapanim,150440,1504406,PA,Marapanim,Região Norte
PAMarituba,150442,1504422,PA,Marituba,Região Norte
PAMedicilândia,150445,1504455,PA,Medicilândia,Região Norte
PAMelgaço,150450,1504505,PA,Melgaço,Região Norte
PAMocajuba,150460,1504604,PA,Mocajuba,Região Norte
PAMoju,150470,1504703,PA,Moju,Região Norte
PAMojuí dos Campos,150475,1504752,PA,Mojuí dos Campos,Região Norte
PAMonte Alegre,150480,1504802,PA,Monte Alegre,Região Norte
PAMuaná,150490,1504901,PA,Muaná,Região Norte
PANova Esperança do Piriá,150495,1504950,PA,Nova Esperança do Piriá,Região Norte
PANova Ipixuna,150497,1504976,PA,Nova Ipixuna,Região Norte
PANova Timboteua,150500,1505007,PA,Nova Timboteua,Região Norte
PANovo Progresso,150503,1505031,PA,Novo Progresso,Região Norte
PANovo Repartimento,150506,1505064,PA,Novo Repartimento,Região Norte
PAÓbidos,150510,1505106,PA,Óbidos,Região Norte
PAOeiras do Pará,150520,1505205,PA,Oeiras do Pará,Região Norte
PAOriximiná,150530,1505304,PA,Oriximiná,Região Norte
PAOurém,150540,1505403,PA,Ourém,Região Norte
PAOurilândia do Norte,150543,1505437,PA,Ourilândia do Norte,Região Norte
PAPacajá,150548,1505486,PA,Pacajá,Região Norte
PAPalestina do Pará,150549,1505494,PA,Palestina do Pará,Região Norte
PAParagominas,150550,1505502,PA,Paragominas,Região Norte
PAParauapebas,150553,1505536,PA,Parauapebas,Região Norte
PAPau D'arco,150555,1505551,PA,Pau D´arco,Região Norte
PAPeixe-boi,150560,1505601,PA,Peixe-boi,Região Norte
PAPiçarra,150563,1505635,PA,Piçarra,Região Norte
PAPlacas,150565,1505650,PA,Placas,Região Norte
PAPonta de Pedras,150570,1505700,PA,Ponta de Pedras,Região Norte
PAPortel,150580,1505809,PA,Portel,Região Norte
PAPorto de Moz,150590,1505908,PA,Porto de Moz,Região Norte
PAPrainha,150600,1506005,PA,Prainha,Região Norte
PAPrimavera,150610,1506104,PA,Primavera,Região Norte
PAQuatipuru,150611,1506112,PA,Quatipuru,Região Norte
PARedenção,150613,1506138,PA,Redenção,Região Norte
PARio Maria,150616,1506161,PA,Rio Maria,Região Norte
PARondon do Pará,150618,1506187,PA,Rondon do Pará,Região Norte
PARurópolis,150619,1506195,PA,Rurópolis,Região Norte
PASalinópolis,150620,1506203,PA,Salinópolis,Região Norte
PASalvaterra,150630,1506302,PA,Salvaterra,Região Norte
PASanta Bárbara do Pará,150635,1506351,PA,Santa Bárbara do Pará,Região Norte
PASanta Cruz do Arari,150640,1506401,PA,Santa Cruz do Arari,Região Norte
PASanta Isabel do Pará,150650,1506500,PA,Santa Isabel do Pará,Região Norte
PASanta Luzia do Pará,150655,1506559,PA,Santa Luzia do Pará,Região Norte
PASanta Maria Das Barreiras,150658,1506583,PA,Santa Maria Das Barreiras,Região Norte
PASanta Maria do Pará,150660,1506609,PA,Santa Maria do Pará,Região Norte
PASantana do Araguaia,150670,1506708,PA,Santana do Araguaia,Região Norte
PASantarém,150680,1506807,PA,Santarém,Região Norte
PASantarém Novo,150690,1506906,PA,Santarém Novo,Região Norte
PASanto Antônio do Tauá,150700,1507003,PA,Santo Antônio do Tauá,Região Norte
PASão Caetano de Odivelas,150710,1507102,PA,São Caetano de Odivelas,Região Norte
PASão Domingos do Araguaia,150715,1507151,PA,São Domingos do Araguaia,Região Norte
PASão Domingos do Capim,150720,1507201,PA,São Domingos do Capim,Região Norte
PASão Félix do Xingu,150730,1507300,PA,São Félix do Xingu,Região Norte
PASão Francisco do Pará,150740,1507409,PA,São Francisco do Pará,Região Norte
PASão Geraldo do Araguaia,150745,1507458,PA,São Geraldo do Araguaia,Região Norte
PASão João da Ponta,150746,1507466,PA,São João da Ponta,Região Norte
PASão João de Pirabas,150747,1507474,PA,São João de Pirabas,Região Norte
PASão João do Araguaia,150750,1507508,PA,São João do Araguaia,Região Norte
PASão Miguel do Guamá,150760,1507607,PA,São Miguel do Guamá,Região Norte
PASão Sebastião da Boa Vista,150770,1507706,PA,São Sebastião da Boa Vista,Região Norte
PASapucaia,150775,1507755,PA,Sapucaia,Região Norte
PASenador José Porfírio,150780,1507805,PA,Senador José Porfírio,Região Norte
PASoure,150790,1507904,PA,Soure,Região Norte
PATailândia,150795,1507953,PA,Tailândia,Região Norte
PATerra Alta,150796,1507961,PA,Terra Alta,Região Norte
PATerra Santa,150797,1507979,PA,Terra Santa,Região Norte
PATomé-açu,150800,1508001,PA,Tomé-açu,Região Norte
PATracuateua,150803,1508035,PA,Tracuateua,Região Norte
PATrairão,150805,1508050,PA,Trairão,Região Norte
PATucumã,150808,1508084,PA,Tucumã,Região Norte
PATucuruí,150810,1508100,PA,Tucuruí,Região Norte
PAUlianópolis,150812,1508126,PA,Ulianópolis,Região Norte
PAUruará,150815,1508159,PA,Uruará,Região Norte
PAVigia,150820,1508209,PA,Vigia,Região Norte
PAViseu,150830,1508308,PA,Viseu,Região Norte
PAVitória do Xingu,150835,1508357,PA,Vitória do Xingu,Região Norte
PAXinguara,150840,1508407,PA,Xinguara,Região Norte
APSerra do Navio,160005,1600055,AP,Serra do Navio,Região Norte
APAmapá,160010,1600105,AP,Amapá,Região Norte
APPedra Branca do Amapari,160015,1600154,AP,Pedra Branca do Amapari,Região Norte
APCalçoene,160020,1600204,AP,Calçoene,Região Norte
APCutias,160021,1600212,AP,Cutias,Região Norte
APFerreira Gomes,160023,1600238,AP,Ferreira Gomes,Região Norte
APItaubal,160025,1600253,AP,Itaubal,Região Norte
APLaranjal do Jari,160027,1600279,AP,Laranjal do Jari,Região Norte
APMacapá,160030,1600303,AP,Macapá,Região Norte
APMazagão,160040,1600402,AP,Mazagão,Região Norte
APOiapoque,160050,1600501,AP,Oiapoque,Região Norte
APPorto Grande,160053,1600535,AP,Porto Grande,Região Norte
APPracuúba,160055,1600550,AP,Pracuúba,Região Norte
APSantana,160060,1600600,AP,Santana,Região Norte
APTartarugalzinho,160070,1600709,AP,Tartarugalzinho,Região Norte
APVitória do Jari,160080,1600808,AP,Vitória do Jari,Região Norte
TOAbreulândia,170025,1700251,TO,Abreulândia,Região Norte
TOAguiarnópolis,170030,1700301,TO,Aguiarnópolis,Região Norte
TOAliança do Tocantins,170035,1700350,TO,Aliança do Tocantins,Região Norte
TOAlmas,170040,1700400,TO,Almas,Região Norte
TOAlvorada,170070,1700707,TO,Alvorada,Região Norte
TOAnanás,170100,1701002,TO,Ananás,Região Norte
TOAngico,170105,1701051,TO,Angico,Região Norte
TOAparecida do Rio Negro,170110,1701101,TO,Aparecida do Rio Negro,Região Norte
TOAragominas,170130,1701309,TO,Aragominas,Região Norte
TOAraguacema,170190,1701903,TO,Araguacema,Região Norte
TOAraguaçu,170200,1702000,TO,Araguaçu,Região Norte
TOAraguaína,170210,1702109,TO,Araguaína,Região Norte
TOAraguanã,170215,1702158,TO,Araguanã,Região Norte
TOAraguatins,170220,1702208,TO,Araguatins,Região Norte
TOArapoema,170230,1702307,TO,Arapoema,Região Norte
TOArraias,170240,1702406,TO,Arraias,Região Norte
TOAugustinópolis,170255,1702554,TO,Augustinópolis,Região Norte
TOAurora do Tocantins,170270,1702703,TO,Aurora do Tocantins,Região Norte
TOAxixá do Tocantins,170290,1702901,TO,Axixá do Tocantins,Região Norte
TOBabaçulândia,170300,1703008,TO,Babaçulândia,Região Norte
TOBandeirantes do Tocantins,170305,1703057,TO,Bandeirantes do Tocantins,Região Norte
TOBarra do Ouro,170307,1703073,TO,Barra do Ouro,Região Norte
TOBarrolândia,170310,1703107,TO,Barrolândia,Região Norte
TOBernardo Sayão,170320,1703206,TO,Bernardo Sayão,Região Norte
TOBom Jesus do Tocantins,170330,1703305,TO,Bom Jesus do Tocantins,Região Norte
TOBrasilândia do Tocantins,170360,1703602,TO,Brasilândia do Tocantins,Região Norte
TOBrejinho de Nazaré,170370,1703701,TO,Brejinho de Nazaré,Região Norte
TOBuriti do Tocantins,170380,1703800,TO,Buriti do Tocantins,Região Norte
TOCachoeirinha,170382,1703826,TO,Cachoeirinha,Região Norte
TOCampos Lindos,170384,1703842,TO,Campos Lindos,Região Norte
TOCariri do Tocantins,170386,1703867,TO,Cariri do Tocantins,Região Norte
TOCarmolândia,170388,1703883,TO,Carmolândia,Região Norte
TOCarrasco Bonito,170389,1703891,TO,Carrasco Bonito,Região Norte
TOCaseara,170390,1703909,TO,Caseara,Região Norte
TOCentenário,170410,1704105,TO,Centenário,Região Norte
TOChapada de Areia,170460,1704600,TO,Chapada de Areia,Região Norte
TOChapada da Natividade,170510,1705102,TO,Chapada da Natividade,Região Norte
TOColinas do Tocantins,170550,1705508,TO,Colinas do Tocantins,Região Norte
TOCombinado,170555,1705557,TO,Combinado,Região Norte
TOConceição do Tocantins,170560,1705607,TO,Conceição do Tocantins,Região Norte
TOCouto de Magalhães,170600,1706001,TO,Couto de Magalhães,Região Norte
TOCristalândia,170610,1706100,TO,Cristalândia,Região Norte
TOCrixás do Tocantins,170625,1706258,TO,Crixás do Tocantins,Região Norte
TODarcinópolis,170650,1706506,TO,Darcinópolis,Região Norte
TODianópolis,170700,1707009,TO,Dianópolis,Região Norte
TODivinópolis do Tocantins,170710,1707108,TO,Divinópolis do Tocantins,Região Norte
TODois Irmãos do Tocantins,170720,1707207,TO,Dois Irmãos do Tocantins,Região Norte
TODueré,170730,1707306,TO,Dueré,Região Norte
TOEsperantina,170740,1707405,TO,Esperantina,Região Norte
TOFátima,170755,1707553,TO,Fátima,Região Norte
TOFigueirópolis,170765,1707652,TO,Figueirópolis,Região Norte
TOFiladélfia,170770,1707702,TO,Filadélfia,Região Norte
TOFormoso do Araguaia,170820,1708205,TO,Formoso do Araguaia,Região Norte
TOFortaleza do Tabocão,170825,1708254,TO,Fortaleza do Tabocão,Região Norte
TOGoianorte,170830,1708304,TO,Goianorte,Região Norte
TOGoiatins,170900,1709005,TO,Goiatins,Região Norte
TOGuaraí,170930,1709302,TO,Guaraí,Região Norte
TOGurupi,170950,1709500,TO,Gurupi,Região Norte
TOIpueiras,170980,1709807,TO,Ipueiras,Região Norte
TOItacajá,171050,1710508,TO,Itacajá,Região Norte
TOItaguatins,171070,1710706,TO,Itaguatins,Região Norte
TOItapiratins,171090,1710904,TO,Itapiratins,Região Norte
TOItaporã do Tocantins,171110,1711100,TO,Itaporã do Tocantins,Região Norte
TOJaú do Tocantins,171150,1711506,TO,Jaú do Tocantins,Região Norte
TOJuarina,171180,1711803,TO,Juarina,Região Norte
TOLagoa da Confusão,171190,1711902,TO,Lagoa da Confusão,Região Norte
TOLagoa do Tocantins,171195,1711951,TO,Lagoa do Tocantins,Região Norte
TOLajeado,171200,1712009,TO,Lajeado,Região Norte
TOLavandeira,171215,1712157,TO,Lavandeira,Região Norte
TOLizarda,171240,1712405,TO,Lizarda,Região Norte
TOLuzinópolis,171245,1712454,TO,Luzinópolis,Região Norte
TOMarianópolis do Tocantins,171250,1712504,TO,Marianópolis do Tocantins,Região Norte
TOMateiros,171270,1712702,TO,Mateiros,Região Norte
TOMaurilândia do Tocantins,171280,1712801,TO,Maurilândia do Tocantins,Região Norte
TOMiracema do Tocantins,171320,1713205,TO,Miracema do Tocantins,Região Norte
TOMiranorte,171330,1713304,TO,Miranorte,Região Norte
TOMonte do Carmo,171360,1713601,TO,Monte do Carmo,Região Norte
TOMonte Santo do Tocantins,171370,1713700,TO,Monte Santo do Tocantins,Região Norte
TOPalmeiras do Tocantins,171380,1713809,TO,Palmeiras do Tocantins,Região Norte
TOMuricilândia,171395,1713957,TO,Muricilândia,Região Norte
TONatividade,171420,1714203,TO,Natividade,Região Norte
TONazaré,171430,1714302,TO,Nazaré,Região Norte
TONova Olinda,171488,1714880,TO,Nova Olinda,Região Norte
TONova Rosalândia,171500,1715002,TO,Nova Rosalândia,Região Norte
TONovo Acordo,171510,1715101,TO,Novo Acordo,Região Norte
TONovo Alegre,171515,1715150,TO,Novo Alegre,Região Norte
TONovo Jardim,171525,1715259,TO,Novo Jardim,Região Norte
TOOliveira de Fátima,171550,1715507,TO,Oliveira de Fátima,Região Norte
TOPalmeirante,171570,1715705,TO,Palmeirante,Região Norte
TOPalmeirópolis,171575,1715754,TO,Palmeirópolis,Região Norte
TOParaíso do Tocantins,171610,1716109,TO,Paraíso do Tocantins,Região Norte
TOParanã,171620,1716208,TO,Paranã,Região Norte
TOPau D'arco,171630,1716307,TO,Pau D´arco,Região Norte
TOPedro Afonso,171650,1716505,TO,Pedro Afonso,Região Norte
TOPeixe,171660,1716604,TO,Peixe,Região Norte
TOPequizeiro,171665,1716653,TO,Pequizeiro,Região Norte
TOColméia,171670,1716703,TO,Colméia,Região Norte
TOPindorama do Tocantins,171700,1717008,TO,Pindorama do Tocantins,Região Norte
TOPiraquê,171720,1717206,TO,Piraquê,Região Norte
TOPium,171750,1717503,TO,Pium,Região Norte
TOPonte Alta do Bom Jesus,171780,1717800,TO,Ponte Alta do Bom Jesus,Região Norte
TOPonte Alta do Tocantins,171790,1717909,TO,Ponte Alta do Tocantins,Região Norte
TOPorto Alegre do Tocantins,171800,1718006,TO,Porto Alegre do Tocantins,Região Norte
TOPorto Nacional,171820,1718204,TO,Porto Nacional,Região Norte
TOPraia Norte,171830,1718303,TO,Praia Norte,Região Norte
TOPresidente Kennedy,171840,1718402,TO,Presidente Kennedy,Região Norte
TOPugmil,171845,1718451,TO,Pugmil,Região Norte
TORecursolândia,171850,1718501,TO,Recursolândia,Região Norte
